# Translations of standard strings for gretl help files.
# Should be in ISO-8859-1.  White space is significant
# within double quotes only.

key            en                    es                         it

args           "Arguments:  "        "Argumentos: "             "Argomenti:  "
arg            "Argument:   "        "Argumento:  "             "Argumento:  "
altforms       "Alternate forms:  "  "Formas alternativas: "    "Forme alternative: " 
opts           "Options:    "        "Opciones:   "             "Opzioni:    "
opt            "Option:     "        "Opción:     "             "Opzione:    "
examples       "Examples:   "        "Ejemplos:   "             "Esempi:     "
example        "Example:    "        "Ejemplo:    "             "Esempio:    "
fullman        "the gretl manual"    "el manual del gretl"      "il manuale di gretl"
menupath       "Menu path:    "      "Menú gráfico: "           "Percorso menù: "
otheraccess    "Other access: "      "Otro acceso:  "           "Accesso alternativo: "
tablebelow     "The table below "    "La tabla abajo "          "La tabella seguente "
scriptcommand  "Script command: "    "Instrucción guión: "      "Comando script: "
or             " or "                " o "                      " o "


